,Twitter_ID,label1,label2,label3
0,1320398456280801280,0,0,0
1,1401821826645475330,0,0,0
2,1295829020022648832,0,0,0
3,1343476008310206466,0,0,0
4,1455900804238372868,0,1,1
5,1481686377544695809,0,1,1
6,1485614073312071681,0,1,0
7,1331191062883409921,0,0,1
8,1248704977750515717,0,0,0
9,1362072230226706442,0,0,0
10,1254817674888130560,0,0,0
11,1242733454497849344,0,0,0
12,1303748011105947650,0,0,0
13,1232295185675169792,0,0,1
14,1276014645308989442,0,0,1
15,1426105710069395458,0,0,0
16,1250687926192791554,0,0,1
17,1257563880609497090,0,0,0
18,1470397609672122370,0,0,0
19,1250884900116484096,0,0,0
20,1453202581484830728,0,0,0
21,1470972058892791810,0,0,1
22,1363287267230547977,0,0,0
23,1348620724714549250,0,0,1
24,1316412594886979584,0,0,0
25,1249547367398944770,0,0,0
26,1442409424740626434,0,0,1
27,1243941407515164672,0,0,0
28,1319230669428461570,0,0,1
29,1476508384593465347,0,0,0
30,1464421048791797763,0,0,0
31,1241390340260663296,0,0,0
32,1240038179782131719,0,0,0
33,1326072323544391680,0,0,1
34,1251569962549985284,0,0,1
35,1238021589192650752,1,0,0
36,1333699821526528000,0,0,0
37,1446020714461597696,0,0,1
38,1300175794606465025,0,0,0
39,1447575679822966784,0,0,0
40,1251240056393793536,0,0,0
41,1346085425350377472,0,0,0
42,1287112145847480321,0,0,0
43,1248269575373946882,0,0,0
44,1257738308177858562,0,0,0
45,1443842758607720448,0,0,0
46,1406080558736678918,0,0,0
47,1300690043544141825,0,0,0
48,1320163199929307136,0,0,0
49,1324348044746391554,0,0,0
50,1306668879595343872,0,0,0
51,1281515316791607296,0,0,1
52,1436472687275110403,0,0,0
53,1247278140465934337,0,0,0
54,1251460260994387971,1,0,1
55,1413855534818545668,0,0,1
56,1438022857796292612,0,0,0
57,1309913512366530560,0,0,0
58,1230885912730591232,0,0,1
59,1265836889774469121,0,0,0
60,1482552950547488768,1,0,0
61,1250721345899462658,0,0,0
62,1375164192089595912,0,0,0
63,1233361635374485506,0,0,1
64,1285361310990053377,0,0,0
65,1251216355560488960,0,0,1
66,1290307216319197184,0,1,1
67,1292819700905279488,0,0,1
68,1219705317237325825,0,0,0
69,1363638390432948227,1,1,1
70,1284113143376105472,0,0,0
71,1406222894775013378,0,0,0
72,1326255286223593476,0,0,0
73,1240593609377714177,0,0,0
74,1328103588351062016,0,0,0
75,1437859072460591105,0,0,1
76,1272586202995134471,0,0,0
77,1395349038531108865,0,0,1
78,1246350609583931392,0,0,0
79,1215356574228713473,0,0,0
80,1265811424879747074,0,0,0
81,1245838180512862210,0,0,0
82,1333764046986874882,0,1,0
83,1311977294135808002,0,1,1
84,1239366706587299841,0,0,0
85,1237761447515521024,0,0,0
86,1308364294426447872,0,0,0
87,1482068076682174469,0,0,0
88,1287583192275443713,0,0,0
89,1241747483774066688,0,0,0
90,1222863190024949760,0,1,0
91,1289920400156061706,0,0,0
92,1247194659006246913,1,1,1
93,1257793718091952129,0,0,0
94,1453591473040003078,0,0,0
95,1342104497561153537,0,0,1
96,1394385528812888065,1,0,1
97,1326500697161015296,0,0,0
98,1375120608778985481,0,0,0
99,1448977535690289157,0,1,0
100,1376075592341282819,1,0,1
101,1378542851953459206,0,0,0
102,1337139043222609926,0,0,0
103,1260522637312299009,0,0,0
104,1280545285354258434,0,0,0
105,1394261087059648513,1,1,1
106,1238239853143302148,1,1,1
107,1466035251642347528,0,1,1
108,1368992582806671369,0,0,0
109,1442410321939894273,0,0,0
110,1392559957929771010,0,0,0
111,1233437790878273536,0,0,0
112,1468957947464011782,1,1,0
113,1235314322814971907,0,0,0
114,1308485419361660928,0,1,1
115,1254658638133821440,0,0,1
116,1236397114927779840,0,1,0
117,1247523002708705284,0,0,0
118,1307955733644812288,0,0,0
119,1478836455317413893,0,1,0
120,1253742258853199872,0,0,1
121,1302969921488388098,0,0,1
122,1302971633997549569,0,0,1
123,1257984865535954944,0,0,0
124,1258061764463398912,0,0,0
125,1444606546588151815,0,0,1
126,1321348820576456705,0,0,0
127,1329146704168411137,0,0,0
128,1262431960837894144,0,0,0
129,1279522225322954758,0,1,0
130,1285631798387642368,0,0,0
131,1221022528229036032,0,0,0
132,1466407969973846017,0,0,1
133,1309361776140718081,0,0,0
134,1441146579012833280,0,0,0
135,1360648615941783556,0,0,0
136,1240065380791574529,0,0,0
137,1478587071170179075,0,0,0
138,1279440408821616640,0,0,0
139,1306145627227803648,0,0,0
140,1443250660670062603,0,0,0
141,1276001153763831808,0,0,0
142,1341333640366665729,1,1,1
143,1465735208930586628,0,1,0
144,1238597809059827716,0,0,0
145,1226217564621066240,0,0,0
146,1349480369838559232,0,0,0
147,1261307863139594240,0,0,0
148,1221134651881705472,0,1,0
149,1388017775986188289,0,0,0
150,1414215388276035585,0,0,0
151,1245757324519563266,0,0,0
152,1437699179816501248,0,0,0
153,1235399635948142593,0,0,0
154,1266265629427810304,0,0,1
155,1339108297480269824,0,0,0
156,1353387401553604610,0,0,0
157,1219695146259841024,0,0,0
158,1359969982189289482,0,0,0
159,1237048668064120834,1,1,1
160,1329863588320833541,0,1,0
161,1359974916892876802,0,0,0
162,1222953538034323456,0,0,0
163,1296100697230974976,1,0,1
164,1389641364841840640,0,0,0
165,1390366184348995588,0,0,0
166,1387830705049243650,0,0,0
167,1385519622728912896,0,1,0
168,1420421333188501506,0,0,0
169,1237885895006515200,0,0,0
170,1249364893528186883,0,0,0
171,1314612139714318338,0,0,0
172,1296061912183119873,0,0,0
173,1232340675217305600,0,0,1
174,1288082082724446208,1,1,1
175,1237735782867075072,0,0,0
176,1354089462284898304,0,0,0
177,1291077768340557824,0,0,0
178,1257387389946822658,0,0,0
179,1453248787250561028,0,0,0
180,1453971226406187018,0,0,0
181,1241757652646080512,0,0,1
182,1442537013673005056,0,0,0
183,1238851810045165568,0,0,0
184,1256235178361569283,0,0,0
185,1268700323096530944,0,0,0
186,1307214555215527937,0,0,0
187,1321830295423930369,0,0,0
188,1297439862845394944,0,0,0
189,1471638776816541698,0,0,0
190,1301987777186353152,0,0,0
191,1303513455408959493,0,0,0
192,1425765249253265411,0,0,0
193,1436245575528181760,0,1,0
194,1456592159533060098,0,1,0
195,1282854101156532225,0,0,0
196,1283207562456895490,0,0,1
197,1262708015179993088,0,0,0
