,tweeter_id,label_Zahra,label_Hanna,label_Maj
0,1061989716223053824,0,1,0.0
1,1121172906644471810,0,0,0.0
2,1177980171019644928,0,0,0.0
3,1164885922762174464,1,0,0.0
4,1178289899364966401,0,0,0.0
5,1057000619268063232,1,1,1.0
6,1107892219757756418,0,0,0.0
7,1086737170130497538,0,0,0.0
8,1201798232365510656,0,0,0.0
9,1184869292963254272,0,0,0.0
10,933121600450265088,0,0,0.0
11,1161649531332771840,0,0,0.0
12,1181562627182546944,1,1,0.0
13,1177323596269719552,0,0,0.0
14,1113638248373469184,0,0,0.0
15,1143701062647369728,0,0,0.0
16,1190279220305334273,0,0,0.0
17,1112420376053579776,0,0,0.0
18,1104020189774008320,1,0,0.0
19,1115901888166289409,0,0,0.0
20,1106545632666402817,0,0,0.0
21,1115547973696536576,0,0,0.0
22,854249771464355840,0,0,0.0
23,1136603384830672897,0,0,0.0
24,1006204696539926529,0,0,0.0
25,1131291138479087620,0,0,0.0
26,1136977939038269441,0,0,0.0
27,959831366497067008,1,1,1.0
28,1115328825527873536,0,0,0.0
29,1123128519763034112,0,0,0.0
30,1041009649976336384,0,0,0.0
31,1069976567269519360,0,0,0.0
32,968528749544267776,0,0,0.0
33,1121862333968420865,1,0,0.0
34,1080820797718122497,0,0,0.0
35,1050180697196060672,0,0,0.0
36,1141628028017139713,0,0,0.0
37,1115549891462410240,0,1,1.0
38,1184907229394325510,1,1,0.0
39,1098364347699642368,0,0,0.0
40,1155719888071200773,0,0,0.0
41,1126269117479227393,0,0,0.0
42,1126333675929366529,0,0,0.0
43,1160986586844188674,0,1,1.0
44,1085941157518024704,1,0,0.0
45,1194917710653796352,0,0,0.0
46,1175598380128428033,0,0,0.0
47,1177284838501625859,0,0,0.0
48,1088751224118235138,0,0,0.0
49,1107830797342568448,0,0,0.0
50,1176509112663859200,1,0,0.0
51,1118990699624407040,1,0,1.0
52,1114658111581716481,0,0,0.0
53,1174036978540658690,0,0,0.0
54,1187433604986687490,0,0,0.0
55,1085219868964777986,0,1,1.0
56,1145602286133100545,0,0,0.0
57,1189564700947894277,0,0,0.0
58,1183044997731536899,0,0,0.0
59,1203070390379188224,1,1,0.0
60,428848867078316032,1,0,0.0
61,1190282106997489670,1,0,1.0
62,1193606901340225538,0,0,0.0
63,1158678521327366144,0,0,0.0
64,1206037507017592832,0,0,0.0
65,1115887343817363456,0,0,0.0
66,1171770617386848256,0,1,0.0
67,1099014962117332993,0,0,0.0
68,1175045419094687744,0,0,0.0
69,1082632973105721344,0,0,0.0
70,1134146895708864512,0,0,0.0
71,1211808328168292354,1,0,0.0
72,801000003850342400,0,0,0.0
73,1133358415701524480,0,1,0.0
74,1109507134935306240,0,0,0.0
75,1189876915152150529,1,1,0.0
76,1185200202359156736,0,0,0.0
77,1108000024879919105,0,0,
78,1171143150213222402,0,0,0.0
79,1090606632332083200,0,0,0.0
80,1134182148418678784,0,1,0.0
81,1125221099174879232,0,0,0.0
82,245666697359548416,0,0,0.0
83,1108789025618317312,0,0,0.0
84,1120868766437576704,0,1,0.0
85,1197549545749651456,0,0,0.0
86,1068517104603688960,1,0,0.0
87,1183720837968519169,0,0,0.0
88,1131914443191934977,0,1,0.0
89,1209617949914476544,0,0,0.0
90,1150756955503415296,0,0,0.0
91,1211126467662213121,0,1,0.0
92,1032298302170124288,1,1,0.0
93,1165628413283057665,0,0,0.0
94,1092703187751063554,0,0,0.0
95,1118621404398747648,0,0,0.0
96,865297791710621696,0,1,0.0
97,1185275101823918080,0,0,0.0
98,1172577258869075969,0,0,0.0
99,1164147595205382144,1,0,0.0
