,tweeter_id,label_Zahra,label_Hanna,label_Maj
0,1167202155935293441,0,0,0
1,1125826415671144448,0,0,0
2,1109075591700070401,0,0,0
3,1152025822804320256,1,1,1
4,1204445482967166976,1,1,1
5,1171588463705120768,0,0,1
6,1134349685949206530,0,0,0
7,1174022081312256001,1,0,1
8,1196996145874116610,0,0,0
9,1161080834243194880,0,0,0
10,1166721799708663808,0,0,0
11,1097979612162912256,0,0,0
12,1166890377024024577,0,0,0
13,1118849811967557632,1,1,1
14,1189981895829938176,0,0,0
15,1130869024093548546,1,0,1
16,1167907476177444866,0,0,0
17,1181748685824253953,0,0,0
18,1090656863824330752,0,0,0
19,1096604321649774593,0,0,0
20,1194811102107975680,0,0,0
21,1084921834649325568,0,0,0
22,1147367917891272705,0,0,0
23,1206153853428752384,0,0,0
24,1102726603967266817,0,0,0
25,1202109232075571200,1,0,0
26,1080370709984096256,0,0,0
27,1183529934792396800,0,0,0
28,1092757731126243328,0,0,0
29,1113933204845514752,0,0,0
30,1174804596830740482,0,0,0
31,1083057035573260288,0,0,0
32,1194074788723150848,0,0,0
33,1127053274199228416,0,0,0
34,1173089536987095046,0,0,0
35,1111208560216760320,0,0,0
36,1211105244458835968,0,0,0
37,1195270068004896768,0,0,0
38,1078837861699469314,0,0,0
39,1208843369604104193,0,1,0
40,1179537754373251072,1,1,0
41,1146072795501223936,0,1,1
42,1181693022796468227,0,0,0
43,1144266567187861504,0,0,0
44,1116308905297096704,0,0,0
45,1090453609894969344,0,0,0
46,1085613260156608517,0,1,0
47,1181817497374167045,0,0,1
48,1095013918769143810,0,0,0
49,1080311646885740544,0,0,0
50,1109558498810048512,0,0,0
51,1193463012813942784,0,0,0
52,1210433341758984193,0,0,0
53,1136915371808690176,1,1,0
54,1196888134967005185,0,0,0
55,1186367898010435584,0,0,0
56,1160776210940665856,0,0,0
57,1113526962750935046,0,0,0
58,1191917891320463361,0,0,0
59,1091537896056721408,1,0,0
60,1081303476448251905,0,0,0
61,1160968295228612608,0,0,0
62,1189639138900762624,1,1,0
63,1171741483000619008,0,0,0
64,1139485099374682112,0,0,0
65,1199789273181896704,0,0,0
66,1102230788752326656,1,0,1
67,1183791527912493056,0,0,0
68,1184616362200707073,0,0,0
69,1149147450541780992,0,0,0
70,945612686439731200,0,0,0
71,1177414529568923651,0,0,0
72,1149439737456930821,0,0,0
73,1093531329738821632,0,0,0
74,1148241597273968642,1,1,0
75,1147465635162705920,0,0,0
76,1157618723500560386,0,0,0
77,1101340926797070336,0,0,1
78,1149165483515666432,0,0,0
79,1131262240974299136,0,0,0
80,1126539179846963200,0,0,0
81,1143855175221669890,0,0,0
82,1197324279005818880,1,0,0
83,1133074023632449540,0,0,0
84,1109940749666275329,0,0,0
85,1093275533872222208,0,0,0
86,1066825499643527168,0,0,0
87,1195538460490321921,0,0,0
88,1205718694388744194,0,0,0
89,1185240082229452800,1,0,0
90,1113494269099167744,0,0,0
91,1173449237020831744,0,0,0
92,1093459827819454465,0,0,1
93,1211446518407946241,0,0,0
94,1083174241011408896,0,0,0
95,1114658272298983424,0,0,0
96,1128499173869879296,0,0,0
97,1147223716322922496,0,0,1
98,1198365704656961536,1,0,0
99,1172038682137833472,0,0,0
100,1201627363072593920,0,0,0
101,1188279622313611266,0,0,0
102,1177668468977684481,0,0,0
103,1184472391344365582,0,0,0
